"RANKING","STATUS","ID_PROV","ID_KAB","ID_KEC","NAMA_PROV","NAMA_KAB","NAMA_KEC","TOTAL_DESA","YEAR_NOW","IDM_NOW","STATUS_NOW","IKS_NOW","IKE_NOW","IKL_NOW","JML_DESA_NOW","YEAR_PREV","IDM_PREV","STATUS_PREV","IKS_PREV","IKE_PREV","IKL_PREV","JML_DESA_PREV"
"2112","BERKEMBANG","11","1115","111501","ACEH","KABUPATEN NAGAN RAYA","KUALA","17","2021","0.6945","BERKEMBANG","0.5422","0.7373","0.8040","17","2020","0.6891","BERKEMBANG","0.5225","0.7530","0.7919","17"
"2112","BERKEMBANG","14","1403","140311","RIAU","KABUPATEN BENGKALIS","RUPAT UTARA","8","2021","0.6945","BERKEMBANG","0.5896","0.6917","0.8021","8","2020","0.6963","BERKEMBANG","0.5896","0.7000","0.7993","8"
"2112","BERKEMBANG","13","1306","130613","SUMATERA BARAT","KABUPATEN AGAM","AMPEK NAGARI","4","2021","0.6945","BERKEMBANG","0.7000","0.5833","0.8000","4","2020","0.6958","BERKEMBANG","0.7084","0.5833","0.7957","4"
"2112","BERKEMBANG","11","1106","110609","ACEH","KABUPATEN ACEH BESAR","MESJID RAYA","13","2021","0.6945","BERKEMBANG","0.5667","0.8205","0.6963","13","2020","0.6952","BERKEMBANG","0.5821","0.8103","0.6932","13"
"2116","BERKEMBANG","18","1807","180723","LAMPUNG","KABUPATEN LAMPUNG TIMUR","WAY BUNGUR","8","2021","0.6944","BERKEMBANG","0.5979","0.6667","0.8186","8","2020","0.6834","BERKEMBANG","0.5792","0.6584","0.8129","8"
"2117","BERKEMBANG","75","7503","750307","GORONTALO","KABUPATEN BONE BOLANGO","BOTUPINGGE","9","2021","0.6942","BERKEMBANG","0.6093","0.7185","0.7549","9","2020","0.6742","BERKEMBANG","0.5611","0.7185","0.7429","9"
"2117","BERKEMBANG","33","3318","331806","JAWA TENGAH","KABUPATEN PATI","JAKEN","21","2021","0.6942","BERKEMBANG","0.5929","0.7397","0.7502","21","2020","0.6878","BERKEMBANG","0.5770","0.7492","0.7372","21"
"2117","BERKEMBANG","32","3205","320512","JAWA BARAT","KABUPATEN GARUT","CIBATU","11","2021","0.6942","BERKEMBANG","0.6697","0.6242","0.7886","11","2020","0.6818","BERKEMBANG","0.6561","0.6061","0.7834","11"
"2120","BERKEMBANG","32","3205","320519","JAWA BARAT","KABUPATEN GARUT","CILAWU","18","2021","0.6941","BERKEMBANG","0.6194","0.6852","0.7778","18","2020","0.6851","BERKEMBANG","0.6139","0.6704","0.7711","18"
"2120","BERKEMBANG","35","3512","351202","JAWA TIMUR","KABUPATEN SITUBONDO","BESUKI","10","2021","0.6941","BERKEMBANG","0.6284","0.6533","0.8006","10","2020","0.7022","BERKEMBANG","0.6417","0.6667","0.7983","10"
"2122","BERKEMBANG","35","3503","350306","JAWA TIMUR","KABUPATEN TRENGGALEK","KARANGAN","12","2021","0.6940","BERKEMBANG","0.6375","0.6500","0.7943","12","2020","0.6788","BERKEMBANG","0.6153","0.6611","0.7600","12"
"2122","BERKEMBANG","35","3509","350925","JAWA TIMUR","KABUPATEN JEMBER","JELBUK","6","2021","0.6940","BERKEMBANG","0.6056","0.7222","0.7543","6","2020","0.6939","BERKEMBANG","0.6056","0.7334","0.7428","6"
"2124","BERKEMBANG","33","3306","330606","JAWA TENGAH","KABUPATEN PURWOREJO","PURWOREJO","11","2021","0.6939","BERKEMBANG","0.6212","0.7030","0.7574","11","2020","0.6770","BERKEMBANG","0.5894","0.7030","0.7387","11"
"2124","BERKEMBANG","33","3322","332204","JAWA TENGAH","KABUPATEN SEMARANG","SURUH","17","2021","0.6939","BERKEMBANG","0.6216","0.6510","0.8091","17","2020","0.6915","BERKEMBANG","0.6196","0.6510","0.8040","17"
"2124","BERKEMBANG","73","7314","731411","SULAWESI SELATAN","KABUPATEN SIDENRENG RAPPANG","PITU RAISE","11","2021","0.6939","BERKEMBANG","0.6394","0.6667","0.7756","11","2020","0.6461","BERKEMBANG","0.5849","0.6424","0.7112","11"
"2124","BERKEMBANG","17","1703","170311","BENGKULU","KABUPATEN BENGKULU UTARA","BATIK NAU","15","2021","0.6939","BERKEMBANG","0.5322","0.7867","0.7627","15","2020","0.6728","BERKEMBANG","0.5078","0.7556","0.7550","15"
"2124","BERKEMBANG","35","3513","351305","JAWA TIMUR","KABUPATEN PROBOLINGGO","LECES","10","2021","0.6939","BERKEMBANG","0.6167","0.6600","0.8051","10","2020","0.6921","BERKEMBANG","0.6133","0.6600","0.8028","10"
"2124","BERKEMBANG","11","1106","110601","ACEH","KABUPATEN ACEH BESAR","LHOONG","28","2021","0.6939","BERKEMBANG","0.5679","0.8024","0.7114","28","2020","0.6908","BERKEMBANG","0.5768","0.7881","0.7076","28"
"2130","BERKEMBANG","52","5203","520318","NUSA TENGGARA BARAT","KABUPATEN LOMBOK TIMUR","SAKRA TIMUR","10","2021","0.6938","BERKEMBANG","0.6050","0.7467","0.7297","10","2020","0.6798","BERKEMBANG","0.5750","0.7467","0.7177","10"
"2130","BERKEMBANG","32","3207","320710","JAWA BARAT","KABUPATEN CIAMIS","PANAWANGAN","18","2021","0.6938","BERKEMBANG","0.6296","0.6926","0.7590","18","2020","0.6805","BERKEMBANG","0.6148","0.6815","0.7451","18"
"2130","BERKEMBANG","13","1302","130211","SUMATERA BARAT","KABUPATEN SOLOK","X KOTO SINGKARAK","8","2021","0.6938","BERKEMBANG","0.7062","0.5667","0.8086","8","2020","0.6817","BERKEMBANG","0.6875","0.5667","0.7907","8"
"2130","BERKEMBANG","35","3509","350906","JAWA TIMUR","KABUPATEN JEMBER","TANGGUL","8","2021","0.6938","BERKEMBANG","0.6729","0.5833","0.8250","8","2020","0.7043","BERKEMBANG","0.6792","0.5916","0.8421","8"
"2130","BERKEMBANG","71","7104","710401","SULAWESI UTARA","KABUPATEN KEPULAUAN TALAUD","LIRUNG","4","2021","0.6938","BERKEMBANG","0.5833","0.7667","0.7314","4","2020","0.6962","BERKEMBANG","0.5833","0.7667","0.7386","4"
"2130","BERKEMBANG","35","3507","350702","JAWA TIMUR","KABUPATEN MALANG","PAGAK","8","2021","0.6938","BERKEMBANG","0.6708","0.6334","0.7771","8","2020","0.7202","MAJU","0.7229","0.6334","0.8043","8"
"2136","BERKEMBANG","11","1106","110602","ACEH","KABUPATEN ACEH BESAR","LHOKNGA","28","2021","0.6937","BERKEMBANG","0.5506","0.7905","0.7400","28","2020","0.6576","BERKEMBANG","0.4988","0.7786","0.6953","28"
"2136","BERKEMBANG","63","6302","630220","KALIMANTAN SELATAN","KABUPATEN KOTABARU","PULAU LAUT KEPULAUAN","9","2021","0.6937","BERKEMBANG","0.5852","0.7778","0.7181","9","2020","0.6243","BERKEMBANG","0.5315","0.6519","0.6895","9"
"2138","BERKEMBANG","33","3314","331415","JAWA TENGAH","KABUPATEN SRAGEN","SUMBERLAWANG","11","2021","0.6936","BERKEMBANG","0.6273","0.6546","0.7990","11","2020","0.6965","BERKEMBANG","0.6333","0.6546","0.8016","11"
"2139","BERKEMBANG","64","6401","640102","KALIMANTAN TIMUR","KABUPATEN PASER","TANJUNG HARAPAN","7","2021","0.6935","BERKEMBANG","0.5309","0.8572","0.6922","7","2020","0.6054","BERKEMBANG","0.4762","0.6476","0.6922","7"
"2139","BERKEMBANG","62","6211","621106","KALIMANTAN TENGAH","KABUPATEN PULANG PISAU","MALIKU","15","2021","0.6935","BERKEMBANG","0.6311","0.6445","0.8050","15","2020","0.6717","BERKEMBANG","0.5878","0.6400","0.7874","15"
"2139","BERKEMBANG","14","1401","140118","RIAU","KABUPATEN KAMPAR","KAMPAR UTARA","8","2021","0.6935","BERKEMBANG","0.5708","0.7417","0.7678","8","2020","0.6928","BERKEMBANG","0.5625","0.7417","0.7743","8"
"2142","BERKEMBANG","14","1406","140616","RIAU","KABUPATEN ROKAN HULU","PENDALIAN IV KOTO","5","2021","0.6934","BERKEMBANG","0.6433","0.6667","0.7703","5","2020","0.6930","BERKEMBANG","0.6467","0.6667","0.7657","5"
"2142","BERKEMBANG","33","3305","330509","JAWA TENGAH","KABUPATEN KEBUMEN","PREMBUN","13","2021","0.6934","BERKEMBANG","0.6500","0.6462","0.7842","13","2020","0.6747","BERKEMBANG","0.6141","0.6359","0.7741","13"
"2142","BERKEMBANG","14","1403","140312","RIAU","KABUPATEN BENGKALIS","SIAK KECIL","17","2021","0.6934","BERKEMBANG","0.5804","0.7059","0.7940","17","2020","0.6860","BERKEMBANG","0.5696","0.6980","0.7903","17"
"2142","BERKEMBANG","71","7109","710901","SULAWESI UTARA","KABUPATEN KEP. SIAU TAGULANDANG BIARO","SIAU TIMUR","11","2021","0.6934","BERKEMBANG","0.5030","0.8727","0.7044","11","2020","0.6930","BERKEMBANG","0.4985","0.8788","0.7018","11"
"2142","BERKEMBANG","52","5201","520113","NUSA TENGGARA BARAT","KABUPATEN LOMBOK BARAT","LEMBAR","10","2021","0.6934","BERKEMBANG","0.5933","0.7000","0.7868","10","2020","0.6836","BERKEMBANG","0.5767","0.7000","0.7743","10"
"2147","BERKEMBANG","35","3508","350807","JAWA TIMUR","KABUPATEN LUMAJANG","YOSOWILANGUN","12","2021","0.6933","BERKEMBANG","0.6208","0.6500","0.8090","12","2020","0.6863","BERKEMBANG","0.6056","0.6500","0.8033","12"
"2147","BERKEMBANG","52","5204","520427","NUSA TENGGARA BARAT","KABUPATEN SUMBAWA","LENANGGUAR","4","2021","0.6933","BERKEMBANG","0.6667","0.6334","0.7800","4","2020","0.6933","BERKEMBANG","0.6667","0.6334","0.7800","4"
"2147","BERKEMBANG","16","1608","160819","SUMATERA SELATAN","KABUPATEN OGAN KOMERING ULU TIMUR","BELITANG MULYA","12","2021","0.6933","BERKEMBANG","0.6347","0.6556","0.7895","12","2020","0.6570","BERKEMBANG","0.5597","0.6556","0.7557","12"
"2147","BERKEMBANG","64","6408","640807","KALIMANTAN TIMUR","KABUPATEN KUTAI TIMUR","TELEN","8","2021","0.6933","BERKEMBANG","0.6354","0.6750","0.7693","8","2020","0.6866","BERKEMBANG","0.6333","0.6750","0.7514","8"
"2147","BERKEMBANG","71","7107","710704","SULAWESI UTARA","KABUPATEN MINAHASA TENGGARA","RATATOTOK","15","2021","0.6933","BERKEMBANG","0.5622","0.7911","0.7265","15","2020","0.6652","BERKEMBANG","0.5256","0.7600","0.7101","15"
