"RANKING","STATUS","ID_PROV","ID_KAB","ID_KEC","NAMA_PROV","NAMA_KAB","NAMA_KEC","TOTAL_DESA","YEAR_NOW","IDM_NOW","STATUS_NOW","IKS_NOW","IKE_NOW","IKL_NOW","JML_DESA_NOW","YEAR_PREV","IDM_PREV","STATUS_PREV","IKS_PREV","IKE_PREV","IKL_PREV","JML_DESA_PREV"
"1","MANDIRI","35","3510","351009","JAWA TIMUR","KABUPATEN BANYUWANGI","GENTENG","5","2021","0.9748","MANDIRI","0.9667","1.0000","0.9577","5","2020","0.9443","MANDIRI","0.9667","0.9200","0.9463","5"
"2","MANDIRI","35","3579","357901","JAWA TIMUR","KOTA BATU","BATU","4","2021","0.9711","MANDIRI","0.9375","1.0000","0.9757","4","2020","0.8581","MANDIRI","0.8166","0.8833","0.8743","4"
"3","MANDIRI","51","5103","510306","BALI","KABUPATEN BADUNG","KUTA UTARA","3","2021","0.9570","MANDIRI","0.9389","0.9778","0.9543","3","2020","0.9356","MANDIRI","0.9167","0.9778","0.9124","3"
"4","MANDIRI","51","5171","517101","BALI","KOTA DENPASAR","DENPASAR SELATAN","4","2021","0.9436","MANDIRI","0.9583","0.9667","0.9057","4","2020","0.9460","MANDIRI","0.9583","0.9667","0.9128","4"
"5","MANDIRI","34","3404","340407","DI YOGYAKARTA","KABUPATEN SLEMAN","DEPOK","3","2021","0.9419","MANDIRI","0.9889","0.9111","0.9257","3","2020","0.9387","MANDIRI","0.9889","0.9111","0.9162","3"
"6","MANDIRI","15","1572","157201","JAMBI","KOTA SUNGAI PENUH","SUNGAI PENUH","3","2021","0.9411","MANDIRI","0.9611","0.8889","0.9733","3","2020","0.9411","MANDIRI","0.9611","0.8889","0.9733","3"
"7","MANDIRI","34","3404","340410","DI YOGYAKARTA","KABUPATEN SLEMAN","KALASAN","4","2021","0.9320","MANDIRI","0.9375","0.9500","0.9086","4","2020","0.9292","MANDIRI","0.9333","0.9500","0.9043","4"
"8","MANDIRI","35","3510","351007","JAWA TIMUR","KABUPATEN BANYUWANGI","GAMBIRAN","6","2021","0.9222","MANDIRI","0.8944","0.9444","0.9276","6","2020","0.9329","MANDIRI","0.9333","0.9444","0.9210","6"
"9","MANDIRI","34","3404","340401","DI YOGYAKARTA","KABUPATEN SLEMAN","GAMPING","5","2021","0.9168","MANDIRI","0.9500","0.9066","0.8937","5","2020","0.8877","MANDIRI","0.9267","0.8667","0.8697","5"
"10","MANDIRI","34","3402","340209","DI YOGYAKARTA","KABUPATEN BANTUL","JETIS","4","2021","0.9113","MANDIRI","0.8500","0.9666","0.9172","4","2020","0.8395","MANDIRI","0.8083","0.8000","0.9100","4"
"11","MANDIRI","35","3510","351025","JAWA TIMUR","KABUPATEN BANYUWANGI","BLIMBINGSARI","10","2021","0.9071","MANDIRI","0.8483","0.9867","0.8863","10","2020","0.7984","MAJU","0.7867","0.7667","0.8417","10"
"12","MANDIRI","73","7314","731402","SULAWESI SELATAN","KABUPATEN SIDENRENG RAPPANG","TELLU LIMPOE","3","2021","0.9034","MANDIRI","0.8555","0.8889","0.9657","3","2020","0.6654","BERKEMBANG","0.5944","0.6000","0.8019","3"
"13","MANDIRI","14","1405","140512","RIAU","KABUPATEN PELALAWAN","BANDAR PETALANGAN","10","2021","0.9004","MANDIRI","0.8000","0.9800","0.9211","10","2020","0.8573","MANDIRI","0.7150","0.9667","0.8903","10"
"14","MANDIRI","35","3579","357902","JAWA TIMUR","KOTA BATU","BUMIAJI","9","2021","0.9000","MANDIRI","0.8111","0.9778","0.9111","9","2020","0.8758","MANDIRI","0.7629","0.9852","0.8794","9"
"15","MANDIRI","51","5171","517104","BALI","KOTA DENPASAR","DENPASAR UTARA","8","2021","0.8939","MANDIRI","0.8667","0.9250","0.8900","8","2020","0.8660","MANDIRI","0.8229","0.9000","0.8750","8"
"16","MANDIRI","32","3279","327903","JAWA BARAT","KOTA BANJAR","PURWAHARJA","2","2021","0.8922","MANDIRI","0.8166","0.9000","0.9600","2","2020","0.8541","MANDIRI","0.7583","0.8666","0.9372","2"
"16","MANDIRI","15","1572","157208","JAMBI","KOTA SUNGAI PENUH","SUNGAI BUNGKAL","5","2021","0.8922","MANDIRI","0.8533","0.9067","0.9166","5","2020","0.8922","MANDIRI","0.8533","0.9067","0.9166","5"
"18","MANDIRI","51","5103","510305","BALI","KABUPATEN BADUNG","KUTA SELATAN","3","2021","0.8885","MANDIRI","0.8000","0.9778","0.8876","3","2020","0.9024","MANDIRI","0.8889","0.9555","0.8628","3"
"19","MANDIRI","64","6408","640804","KALIMANTAN TIMUR","KABUPATEN KUTAI TIMUR","SANGATTA UTARA","3","2021","0.8884","MANDIRI","0.9222","0.8667","0.8762","3","2020","0.8884","MANDIRI","0.9222","0.8667","0.8762","3"
"20","MANDIRI","32","3217","321702","JAWA BARAT","KABUPATEN BANDUNG BARAT","PARONGPONG","7","2021","0.8856","MANDIRI","0.8690","0.8571","0.9306","7","2020","0.7884","MAJU","0.8024","0.6762","0.8865","7"
"21","MANDIRI","51","5103","510302","BALI","KABUPATEN BADUNG","MENGWI","15","2021","0.8855","MANDIRI","0.7855","0.9555","0.9154","15","2020","0.8847","MANDIRI","0.7844","0.9600","0.9097","15"
"22","MANDIRI","51","5171","517103","BALI","KOTA DENPASAR","DENPASAR BARAT","8","2021","0.8851","MANDIRI","0.8979","0.8417","0.9157","8","2020","0.8759","MANDIRI","0.8875","0.8250","0.9150","8"
"23","MANDIRI","51","5103","510303","BALI","KABUPATEN BADUNG","ABIANSEMAL","18","2021","0.8848","MANDIRI","0.8148","0.9333","0.9064","18","2020","0.8727","MANDIRI","0.8018","0.9037","0.9127","18"
"24","MANDIRI","61","6102","610208","KALIMANTAN BARAT","KABUPATEN MEMPAWAH","SIANTAN","5","2021","0.8847","MANDIRI","0.8833","0.8267","0.9440","5","2020","0.8853","MANDIRI","0.8800","0.8400","0.9360","5"
"25","MANDIRI","34","3402","340205","DI YOGYAKARTA","KABUPATEN BANTUL","BAMBANGLIPURO","3","2021","0.8844","MANDIRI","0.8278","0.9111","0.9143","3","2020","0.8477","MANDIRI","0.7889","0.8667","0.8876","3"
"26","MANDIRI","35","3507","350712","JAWA TIMUR","KABUPATEN MALANG","SUMBERPUCUNG","7","2021","0.8819","MANDIRI","0.8333","0.9333","0.8792","7","2020","0.8801","MANDIRI","0.8333","0.9333","0.8735","7"
"27","MANDIRI","81","8172","817202","MALUKU","KOTA TUAL","PULAU DULLAH SELATAN","2","2021","0.8799","MANDIRI","0.8500","0.8667","0.9228","2","2020","0.8646","MANDIRI","0.8583","0.8667","0.8686","2"
"28","MANDIRI","51","5171","517102","BALI","KOTA DENPASAR","DENPASAR TIMUR","7","2021","0.8797","MANDIRI","0.8524","0.8952","0.8914","7","2020","0.8603","MANDIRI","0.8333","0.8667","0.8808","7"
"29","MANDIRI","32","3279","327904","JAWA BARAT","KOTA BANJAR","LANGENSARI","4","2021","0.8794","MANDIRI","0.7417","0.9667","0.9300","4","2020","0.8521","MANDIRI","0.7333","0.9000","0.9228","4"
"30","MANDIRI","61","6102","610201","KALIMANTAN BARAT","KABUPATEN MEMPAWAH","MEMPAWAH HILIR","5","2021","0.8769","MANDIRI","0.7900","0.8933","0.9474","5","2020","0.8471","MANDIRI","0.7600","0.8533","0.9280","5"
"31","MANDIRI","35","3510","351006","JAWA TIMUR","KABUPATEN BANYUWANGI","CLURING","9","2021","0.8762","MANDIRI","0.8093","0.9037","0.9156","9","2020","0.8675","MANDIRI","0.8056","0.8889","0.9079","9"
"32","MANDIRI","32","3217","321701","JAWA BARAT","KABUPATEN BANDUNG BARAT","LEMBANG","16","2021","0.8752","MANDIRI","0.8063","0.9000","0.9193","16","2020","0.8714","MANDIRI","0.8042","0.8958","0.9143","16"
"33","MANDIRI","15","1572","157206","JAMBI","KOTA SUNGAI PENUH","PONDOK TINGGI","7","2021","0.8743","MANDIRI","0.8143","0.8952","0.9135","7","2020","0.8570","MANDIRI","0.8095","0.8667","0.8947","7"
"34","MANDIRI","35","3510","351010","JAWA TIMUR","KABUPATEN BANYUWANGI","GLENMORE","7","2021","0.8719","MANDIRI","0.8167","0.8952","0.9037","7","2020","0.8429","MANDIRI","0.7762","0.8571","0.8955","7"
"35","MANDIRI","32","3204","320405","JAWA BARAT","KABUPATEN BANDUNG","CILEUNYI","6","2021","0.8710","MANDIRI","0.8583","0.8222","0.9324","6","2020","0.8332","MANDIRI","0.8417","0.7444","0.9133","6"
"36","MANDIRI","32","3204","320409","JAWA BARAT","KABUPATEN BANDUNG","MARGAHAYU","4","2021","0.8697","MANDIRI","0.8875","0.8000","0.9214","4","2020","0.8603","MANDIRI","0.8917","0.7833","0.9057","4"
"37","MANDIRI","14","1408","140806","RIAU","KABUPATEN SIAK","DAYUN","11","2021","0.8686","MANDIRI","0.8258","0.8970","0.8831","11","2020","0.8003","MAJU","0.7667","0.7697","0.8644","11"
"38","MANDIRI","51","5104","510405","BALI","KABUPATEN GIANYAR","UBUD","7","2021","0.8681","MANDIRI","0.7905","0.9143","0.8996","7","2020","0.8403","MANDIRI","0.7929","0.8381","0.8898","7"
"39","MANDIRI","35","3510","351001","JAWA TIMUR","KABUPATEN BANYUWANGI","PESANGGARAN","5","2021","0.8676","MANDIRI","0.8467","0.8933","0.8628","5","2020","0.8578","MANDIRI","0.8333","0.8933","0.8469","5"
"40","MANDIRI","51","5104","510401","BALI","KABUPATEN GIANYAR","SUKAWATI","12","2021","0.8675","MANDIRI","0.8694","0.8444","0.8886","12","2020","0.8407","MANDIRI","0.8611","0.8000","0.8610","12"
"41","MANDIRI","32","3216","321606","JAWA BARAT","KABUPATEN BEKASI","TAMBUN SELATAN","9","2021","0.8668","MANDIRI","0.9056","0.7704","0.9244","9","2020","0.8474","MANDIRI","0.8907","0.7333","0.9181","9"
"42","MANDIRI","32","3204","320408","JAWA BARAT","KABUPATEN BANDUNG","BOJONGSOANG","6","2021","0.8653","MANDIRI","0.8972","0.7778","0.9210","6","2020","0.8442","MANDIRI","0.8611","0.7667","0.9048","6"
"43","MANDIRI","32","3201","320103","JAWA BARAT","KABUPATEN BOGOR","CITEUREUP","12","2021","0.8649","MANDIRI","0.7667","0.9167","0.9114","12","2020","0.8262","MANDIRI","0.7444","0.8556","0.8786","12"
"44","MANDIRI","51","5102","510204","BALI","KABUPATEN TABANAN","KERAMBITAN","15","2021","0.8640","MANDIRI","0.7900","0.9067","0.8952","15","2020","0.8126","MAJU","0.7567","0.8178","0.8632","15"
"45","MANDIRI","32","3210","321013","JAWA BARAT","KABUPATEN MAJALENGKA","KADIPATEN","7","2021","0.8639","MANDIRI","0.8191","0.8762","0.8963","7","2020","0.7830","MAJU","0.7810","0.6857","0.8824","7"
"46","MANDIRI","33","3312","331211","JAWA TENGAH","KABUPATEN WONOGIRI","SELOGIRI","10","2021","0.8620","MANDIRI","0.8500","0.8400","0.8960","10","2020","0.8482","MANDIRI","0.8433","0.8134","0.8880","10"
"47","MANDIRI","51","5103","510304","BALI","KABUPATEN BADUNG","PETANG","7","2021","0.8616","MANDIRI","0.7429","0.9333","0.9086","7","2020","0.8576","MANDIRI","0.7452","0.9238","0.9037","7"
"48","MANDIRI","32","3201","320107","JAWA BARAT","KABUPATEN BOGOR","CILEUNGSI","12","2021","0.8615","MANDIRI","0.8695","0.7889","0.9262","12","2020","0.8341","MANDIRI","0.8486","0.7334","0.9205","12"
"49","MANDIRI","35","3510","351020","JAWA TIMUR","KABUPATEN BANYUWANGI","SEMPU","7","2021","0.8610","MANDIRI","0.8024","0.9333","0.8473","7","2020","0.8649","MANDIRI","0.8238","0.9048","0.8661","7"
"50","MANDIRI","34","3402","340217","DI YOGYAKARTA","KABUPATEN BANTUL","SEDAYU","4","2021","0.8605","MANDIRI","0.7958","0.9000","0.8857","4","2020","0.8235","MANDIRI","0.7542","0.8333","0.8829","4"
"51","MANDIRI","35","3510","351013","JAWA TIMUR","KABUPATEN BANYUWANGI","ROGOJAMPI","10","2021","0.8604","MANDIRI","0.8050","0.8933","0.8828","10","2020","0.7440","MAJU","0.7050","0.6933","0.8337","10"
"52","MANDIRI","32","3279","327902","JAWA BARAT","KOTA BANJAR","PATARUMAN","6","2021","0.8595","MANDIRI","0.7694","0.8778","0.9314","6","2020","0.7906","MAJU","0.7167","0.7333","0.9219","6"
"53","MANDIRI","34","3402","340214","DI YOGYAKARTA","KABUPATEN BANTUL","PIYUNGAN","3","2021","0.8562","MANDIRI","0.8555","0.8445","0.8686","3","2020","0.8488","MANDIRI","0.8333","0.8444","0.8686","3"
"54","MANDIRI","35","3507","350722","JAWA TIMUR","KABUPATEN MALANG","DAU","10","2021","0.8557","MANDIRI","0.7883","0.9067","0.8720","10","2020","0.8405","MANDIRI","0.7633","0.9000","0.8583","10"
"55","MANDIRI","32","3204","320437","JAWA BARAT","KABUPATEN BANDUNG","SOREANG","10","2021","0.8548","MANDIRI","0.8400","0.8000","0.9246","10","2020","0.8394","MANDIRI","0.8150","0.8067","0.8966","10"
"56","MANDIRI","35","3525","352513","JAWA TIMUR","KABUPATEN GRESIK","MENGANTI","22","2021","0.8537","MANDIRI","0.7500","0.9485","0.8626","22","2020","0.8320","MANDIRI","0.7311","0.9121","0.8527","22"
"57","MANDIRI","51","5102","510202","BALI","KABUPATEN TABANAN","SALAMADEG TIMUR","10","2021","0.8525","MANDIRI","0.7667","0.9466","0.8440","10","2020","0.8112","MAJU","0.7200","0.8867","0.8268","10"
"58","MANDIRI","15","1572","157202","JAMBI","KOTA SUNGAI PENUH","PESISIR BUKIT","9","2021","0.8521","MANDIRI","0.7833","0.9037","0.8692","9","2020","0.8491","MANDIRI","0.7815","0.9037","0.8622","9"
"59","MANDIRI","71","7106","710602","SULAWESI UTARA","KABUPATEN MINAHASA UTARA","KAUDITAN","12","2021","0.8519","MANDIRI","0.7153","0.9333","0.9071","12","2020","0.7342","MAJU","0.6319","0.7445","0.8262","12"
"60","MANDIRI","51","5102","510206","BALI","KABUPATEN TABANAN","KEDIRI","15","2021","0.8515","MANDIRI","0.7778","0.9244","0.8522","15","2020","0.8156","MANDIRI","0.7522","0.8489","0.8457","15"
"61","MANDIRI","62","6201","620105","KALIMANTAN TENGAH","KABUPATEN KOTAWARINGIN BARAT","PANGKALAN LADA","11","2021","0.8510","MANDIRI","0.8152","0.8485","0.8893","11","2020","0.7850","MAJU","0.7652","0.7212","0.8686","11"
"62","MANDIRI","51","5102","510209","BALI","KABUPATEN TABANAN","BATURITI","12","2021","0.8506","MANDIRI","0.7445","0.9611","0.8462","12","2020","0.8130","MAJU","0.7320","0.8833","0.8238","12"
"63","MANDIRI","34","3404","340406","DI YOGYAKARTA","KABUPATEN SLEMAN","MLATI","5","2021","0.8500","MANDIRI","0.8167","0.8533","0.8800","5","2020","0.8311","MANDIRI","0.8167","0.8000","0.8765","5"
"64","MANDIRI","51","5102","510207","BALI","KABUPATEN TABANAN","MARGA","16","2021","0.8494","MANDIRI","0.7854","0.9292","0.8336","16","2020","0.8357","MANDIRI","0.7854","0.9125","0.8093","16"
"65","MANDIRI","13","1304","130404","SUMATERA BARAT","KABUPATEN TANAH DATAR","LIMA KAUM","5","2021","0.8488","MANDIRI","0.8067","0.9067","0.8331","5","2020","0.8435","MANDIRI","0.8067","0.9067","0.8172","5"
"66","MANDIRI","51","5105","510503","BALI","KABUPATEN KLUNGKUNG","KLUNGKUNG","12","2021","0.8486","MANDIRI","0.7500","0.9500","0.8457","12","2020","0.8200","MANDIRI","0.7361","0.9111","0.8129","12"
"67","MANDIRI","61","6101","610112","KALIMANTAN BARAT","KABUPATEN SAMBAS","TEKARANG","7","2021","0.8482","MANDIRI","0.7714","0.9714","0.8016","7","2020","0.7652","MAJU","0.5548","0.9619","0.7788","7"
"68","MANDIRI","32","3279","327901","JAWA BARAT","KOTA BANJAR","BANJAR","4","2021","0.8475","MANDIRI","0.6666","0.9500","0.9257","4","2020","0.8401","MANDIRI","0.6542","0.9333","0.9328","4"
"69","MANDIRI","35","3510","351005","JAWA TIMUR","KABUPATEN BANYUWANGI","MUNCAR","10","2021","0.8474","MANDIRI","0.7917","0.8733","0.8772","10","2020","0.8288","MANDIRI","0.7800","0.8400","0.8663","10"
"70","MANDIRI","32","3218","321809","JAWA BARAT","KABUPATEN PANGANDARAN","PANGANDARAN","8","2021","0.8462","MANDIRI","0.7500","0.9000","0.8886","8","2020","0.8498","MANDIRI","0.7500","0.9000","0.8993","8"
"71","MANDIRI","35","3579","357903","JAWA TIMUR","KOTA BATU","JUNREJO","6","2021","0.8460","MANDIRI","0.7889","0.8445","0.9048","6","2020","0.8258","MANDIRI","0.7333","0.8556","0.8886","6"
"71","MANDIRI","65","6502","650202","KALIMANTAN UTARA","KABUPATEN MALINAU","MALINAU KOTA","6","2021","0.8460","MANDIRI","0.8472","0.7556","0.9352","6","2020","0.8276","MANDIRI","0.8278","0.7445","0.9105","6"
"73","MANDIRI","35","3510","351021","JAWA TIMUR","KABUPATEN BANYUWANGI","KALIPURO","5","2021","0.8457","MANDIRI","0.7500","0.8934","0.8937","5","2020","0.8368","MANDIRI","0.7233","0.8934","0.8937","5"
"74","MANDIRI","34","3402","340216","DI YOGYAKARTA","KABUPATEN BANTUL","KASIHAN","4","2021","0.8455","MANDIRI","0.8708","0.7500","0.9157","4","2020","0.8254","MANDIRI","0.8458","0.7333","0.8972","4"
"75","MANDIRI","32","3204","320412","JAWA BARAT","KABUPATEN BANDUNG","DAYEUHKOLOT","5","2021","0.8454","MANDIRI","0.8633","0.7733","0.8994","5","2020","0.8187","MANDIRI","0.8633","0.6933","0.8994","5"
"76","MANDIRI","62","6201","620102","KALIMANTAN TENGAH","KABUPATEN KOTAWARINGIN BARAT","ARUT SELATAN","13","2021","0.8450","MANDIRI","0.7577","0.8974","0.8800","13","2020","0.7435","MAJU","0.5628","0.8462","0.8215","13"
"77","MANDIRI","34","3404","340402","DI YOGYAKARTA","KABUPATEN SLEMAN","GODEAN","7","2021","0.8449","MANDIRI","0.8357","0.8762","0.8229","7","2020","0.8302","MANDIRI","0.8333","0.8762","0.7812","7"
"78","MANDIRI","34","3401","340104","DI YOGYAKARTA","KABUPATEN KULON PROGO","GALUR","7","2021","0.8447","MANDIRI","0.7357","0.9428","0.8555","7","2020","0.7799","MAJU","0.6595","0.8762","0.8041","7"
"79","MANDIRI","34","3402","340208","DI YOGYAKARTA","KABUPATEN BANTUL","BANTUL","5","2021","0.8440","MANDIRI","0.8033","0.8133","0.9154","5","2020","0.7925","MAJU","0.7500","0.7200","0.9074","5"
"80","MANDIRI","61","6112","611209","KALIMANTAN BARAT","KABUPATEN KUBU RAYA","SUNGAI KAKAP","13","2021","0.8436","MANDIRI","0.7500","0.9128","0.8681","13","2020","0.8113","MAJU","0.7154","0.8564","0.8620","13"
"80","MANDIRI","35","3507","350726","JAWA TIMUR","KABUPATEN MALANG","PUJON","10","2021","0.8436","MANDIRI","0.7800","0.8867","0.8640","10","2020","0.8164","MANDIRI","0.7350","0.8600","0.8543","10"
"82","MANDIRI","65","6503","650310","KALIMANTAN UTARA","KABUPATEN NUNUKAN","SEBATIK TIMUR","4","2021","0.8434","MANDIRI","0.7292","0.8666","0.9343","4","2020","0.7961","MAJU","0.7292","0.7334","0.9257","4"
"83","MANDIRI","51","5102","510205","BALI","KABUPATEN TABANAN","TABANAN","12","2021","0.8419","MANDIRI","0.7847","0.8667","0.8743","12","2020","0.8314","MANDIRI","0.7736","0.8500","0.8705","12"
"84","MANDIRI","35","3522","352205","JAWA TIMUR","KABUPATEN BOJONEGORO","BUBULAN","5","2021","0.8417","MANDIRI","0.7200","0.9467","0.8583","5","2020","0.7892","MAJU","0.6533","0.8800","0.8343","5"
"85","MANDIRI","32","3204","320432","JAWA BARAT","KABUPATEN BANDUNG","BALEENDAH","3","2021","0.8415","MANDIRI","0.8000","0.8444","0.8800","3","2020","0.8240","MANDIRI","0.7722","0.8444","0.8552","3"
"86","MANDIRI","71","7102","710216","SULAWESI UTARA","KABUPATEN MINAHASA","TONDANO UTARA","3","2021","0.8412","MANDIRI","0.6278","0.9778","0.9181","3","2020","0.8525","MANDIRI","0.6444","0.9778","0.9352","3"
"87","MANDIRI","35","3510","351011","JAWA TIMUR","KABUPATEN BANYUWANGI","KALIBARU","6","2021","0.8411","MANDIRI","0.7278","0.9222","0.8733","6","2020","0.8340","MANDIRI","0.7139","0.9222","0.8657","6"
"88","MANDIRI","34","3404","340413","DI YOGYAKARTA","KABUPATEN SLEMAN","SLEMAN","5","2021","0.8402","MANDIRI","0.8533","0.7600","0.9074","5","2020","0.8064","MAJU","0.8400","0.7333","0.8457","5"
"89","MANDIRI","71","7102","710214","SULAWESI UTARA","KABUPATEN MINAHASA","TOMBULU","11","2021","0.8398","MANDIRI","0.7440","0.9636","0.8119","11","2020","0.8177","MANDIRI","0.7212","0.9818","0.7501","11"
"89","MANDIRI","51","5106","510602","BALI","KABUPATEN BANGLI","BANGLI","5","2021","0.8398","MANDIRI","0.7800","0.9200","0.8194","5","2020","0.8171","MANDIRI","0.7800","0.8667","0.8046","5"
"91","MANDIRI","34","3402","340212","DI YOGYAKARTA","KABUPATEN BANTUL","BANGUNTAPAN","8","2021","0.8392","MANDIRI","0.8146","0.8167","0.8864","8","2020","0.8323","MANDIRI","0.7979","0.8167","0.8821","8"
"91","MANDIRI","51","5105","510502","BALI","KABUPATEN KLUNGKUNG","BANJARANGKAN","13","2021","0.8392","MANDIRI","0.8077","0.8769","0.8330","13","2020","0.8282","MANDIRI","0.7833","0.8769","0.8242","13"
"93","MANDIRI","61","6102","610218","KALIMANTAN BARAT","KABUPATEN MEMPAWAH","MEMPAWAH TIMUR","6","2021","0.8391","MANDIRI","0.8084","0.7889","0.9200","6","2020","0.8387","MANDIRI","0.8250","0.7778","0.9133","6"
"94","MANDIRI","73","7303","730307","SULAWESI SELATAN","KABUPATEN BANTAENG","GANTARANG KEKE","4","2021","0.8383","MANDIRI","0.7750","0.8500","0.8900","4","2020","0.7599","MAJU","0.7416","0.6667","0.8714","4"
"95","MANDIRI","34","3402","340210","DI YOGYAKARTA","KABUPATEN BANTUL","IMOGIRI","8","2021","0.8380","MANDIRI","0.7833","0.8750","0.8557","8","2020","0.8067","MAJU","0.7750","0.8000","0.8450","8"
"95","MANDIRI","34","3404","340412","DI YOGYAKARTA","KABUPATEN SLEMAN","NGAGLIK","6","2021","0.8380","MANDIRI","0.7695","0.8778","0.8667","6","2020","0.8296","MANDIRI","0.7695","0.8556","0.8638","6"
"97","MANDIRI","34","3402","340201","DI YOGYAKARTA","KABUPATEN BANTUL","SRANDAKAN","2","2021","0.8374","MANDIRI","0.7416","0.9333","0.8372","2","2020","0.8374","MANDIRI","0.7416","0.9333","0.8372","2"
"98","MANDIRI","35","3507","350727","JAWA TIMUR","KABUPATEN MALANG","NGANTANG","13","2021","0.8370","MANDIRI","0.7603","0.8923","0.8584","13","2020","0.8159","MANDIRI","0.7282","0.8769","0.8426","13"
"99","MANDIRI","61","6101","610105","KALIMANTAN BARAT","KABUPATEN SAMBAS","PEMANGKAT","8","2021","0.8368","MANDIRI","0.7500","0.8917","0.8686","8","2020","0.8054","MAJU","0.6896","0.8667","0.8600","8"
"100","MANDIRI","65","6501","650110","KALIMANTAN UTARA","KABUPATEN BULUNGAN","BUNYU","3","2021","0.8359","MANDIRI","0.8333","0.8000","0.8743","3","2020","0.8043","MAJU","0.8167","0.7334","0.8628","3"
"100","MANDIRI","32","3204","320431","JAWA BARAT","KABUPATEN BANDUNG","KERTASARI","8","2021","0.8359","MANDIRI","0.7104","0.8916","0.9057","8","2020","0.8152","MAJU","0.6938","0.8583","0.8936","8"
"102","MANDIRI","11","1171","117102","ACEH","KOTA BANDA ACEH","KUTA ALAM","11","2021","0.8357","MANDIRI","0.7030","0.9091","0.8951","11","2020","0.8181","MANDIRI","0.6849","0.9030","0.8665","11"
"102","MANDIRI","71","7102","710203","SULAWESI UTARA","KABUPATEN MINAHASA","ERIS","8","2021","0.8357","MANDIRI","0.7021","0.9750","0.8300","8","2020","0.7750","MAJU","0.6354","0.9416","0.7479","8"
"104","MANDIRI","14","1405","140501","RIAU","KABUPATEN PELALAWAN","UKUI","11","2021","0.8351","MANDIRI","0.7788","0.8849","0.8416","11","2020","0.8199","MANDIRI","0.7591","0.8727","0.8281","11"
"105","MANDIRI","32","3201","320102","JAWA BARAT","KABUPATEN BOGOR","GUNUNG PUTRI","10","2021","0.8346","MANDIRI","0.8650","0.6867","0.9520","10","2020","0.8026","MAJU","0.8500","0.6333","0.9246","10"
"106","MANDIRI","34","3402","340213","DI YOGYAKARTA","KABUPATEN BANTUL","PLERET","5","2021","0.8344","MANDIRI","0.8167","0.8133","0.8732","5","2020","0.8195","MANDIRI","0.8100","0.7867","0.8617","5"
"107","MANDIRI","35","3510","351017","JAWA TIMUR","KABUPATEN BANYUWANGI","GIRI","2","2021","0.8341","MANDIRI","0.6916","0.9334","0.8772","2","2020","0.8341","MANDIRI","0.7583","0.8667","0.8772","2"
"108","MANDIRI","61","6105","610501","KALIMANTAN BARAT","KABUPATEN SINTANG","SINTANG","13","2021","0.8339","MANDIRI","0.6936","0.9282","0.8800","13","2020","0.8107","MAJU","0.6551","0.9128","0.8642","13"
"109","MANDIRI","35","3510","351008","JAWA TIMUR","KABUPATEN BANYUWANGI","SRONO","10","2021","0.8323","MANDIRI","0.8533","0.7600","0.8834","10","2020","0.8009","MAJU","0.8050","0.7400","0.8577","10"
"110","MANDIRI","51","5106","510603","BALI","KABUPATEN BANGLI","TEMBUKU","6","2021","0.8319","MANDIRI","0.7583","0.8889","0.8486","6","2020","0.8244","MANDIRI","0.7083","0.9000","0.8647","6"
"111","MANDIRI","61","6102","610216","KALIMANTAN BARAT","KABUPATEN MEMPAWAH","ANJONGAN","4","2021","0.8315","MANDIRI","0.8625","0.7334","0.8986","4","2020","0.8160","MANDIRI","0.8375","0.7334","0.8772","4"
"112","MANDIRI","51","5105","510504","BALI","KABUPATEN KLUNGKUNG","DAWAN","12","2021","0.8313","MANDIRI","0.7292","0.9222","0.8424","12","2020","0.8215","MANDIRI","0.7306","0.9000","0.8338","12"
"113","MANDIRI","34","3402","340215","DI YOGYAKARTA","KABUPATEN BANTUL","SEWON","4","2021","0.8304","MANDIRI","0.8083","0.8000","0.8828","4","2020","0.8244","MANDIRI","0.7916","0.8000","0.8814","4"
"114","MANDIRI","32","3214","321413","JAWA BARAT","KABUPATEN PURWAKARTA","BUNGURSARI","10","2021","0.8290","MANDIRI","0.7850","0.8267","0.8754","10","2020","0.7541","MAJU","0.7333","0.6867","0.8423","10"
"114","MANDIRI","14","1403","140301","RIAU","KABUPATEN BENGKALIS","BENGKALIS","28","2021","0.8290","MANDIRI","0.6875","0.9143","0.8851","28","2020","0.8046","MAJU","0.6720","0.8905","0.8512","28"
"116","MANDIRI","35","3505","350519","JAWA TIMUR","KABUPATEN BLITAR","KESAMBEN","10","2021","0.8286","MANDIRI","0.7100","0.9267","0.8491","10","2020","0.7702","MAJU","0.6850","0.7867","0.8389","10"
"117","MANDIRI","32","3208","320809","JAWA BARAT","KABUPATEN KUNINGAN","KUNINGAN","6","2021","0.8280","MANDIRI","0.7361","0.8556","0.8924","6","2020","0.8221","MANDIRI","0.7194","0.8556","0.8914","6"
"118","MANDIRI","61","6102","610215","KALIMANTAN BARAT","KABUPATEN MEMPAWAH","SEGEDONG","6","2021","0.8275","MANDIRI","0.7333","0.8778","0.8714","6","2020","0.8160","MANDIRI","0.7194","0.8667","0.8619","6"
"119","MANDIRI","35","3522","352227","JAWA TIMUR","KABUPATEN BOJONEGORO","SEKAR","6","2021","0.8273","MANDIRI","0.7694","0.8667","0.8457","6","2020","0.7381","MAJU","0.7028","0.7000","0.8114","6"
